wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,psid
Q104598889,Adrian-Ionuț CHESNOIU,Adrian-Ionuț Chesnoiu,male,1982-05-12,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21503604,Minister of Agriculture and Rural Development,Q104598889-d0597eea-4b0b-1598-a95e-f4c0aaa7a793
Q109700122,Florin Marian SPĂTARU,Florin Spătaru,male,1969-12-22,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q109743596,Minister of Economy,Q109700122-909456af-4ec4-cae7-0244-00b266f51659
Q109746326,Adrian CÂCIU,Adrian Câciu,male,1974-02-20,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21504216,Minister of Finance,Q109746326-b1fceb84-4659-60b0-fd00-23251300661a
Q1151156,Marian-Cătălin PREDOIU,Cătălin Predoiu,male,1968-08-27,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21159939,Minister of Justice,Q1151156-7679940e-40f5-e741-33ba-7d66d035a1e1
Q16593781,Gabriela FIREA,Firea Gabriela,female,1972-07-13,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q109743599,"Minister of Family, Youth and Equal Opportunities",Q16593781-1F1B86E4-EB11-4FBB-A235-D4D5049852B9
Q18537583,Bogdan Lucian AURESCU,Bogdan Aurescu,male,1973-09-09,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21503673,Minister of Foreign Affairs,Q18537583-0b6714c5-4c6f-4f3e-c905-8316be0638dc
Q19003460,Sorin Mihai GRINDEANU,Sorin Grindeanu,male,1973-12-05,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21513080,Minister of Transport and Infrastructure,Q19003460-64a5dd58-4849-4ee4-53f9-2cfc0295cce9
Q19003460,Sorin Mihai GRINDEANU,Sorin Grindeanu,male,1973-12-05,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q81292982,Vice Prime Minister,Q19003460-903c769e-49fe-134d-b57d-6a91c6cb8fb6
Q20437970,Barna TÁNCZOS,Barna Tánczos,male,1976-05-25,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21504155,"Minister of Environment, Water and Forests",Q20437970-eb1dfcd8-420e-f395-fb6f-e64e3afaef37
Q21095867,Sorin-Mihai CÎMPEANU,Sorin Cîmpeanu,male,1968-04-18,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21389881,Minister of Education,Q21095867-257f8c4e-4d7a-70c1-aa7f-127889638a93
Q28035736,Florin-Claudiu ROMAN,Florin Roman,male,1974-04-22,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q106640935,"Minister of Research, Innovation and Digitalization",Q28035736-45fca01f-4876-2fdd-09ed-5871757b55b5
Q28038940,Marius-Constantin BUDĂI,Marius-Constantin Budăi,male,1972-05-01,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21504145,Minister of Labour and Social Solidarity,Q28038940-e566456f-4f97-c6f9-face-c0f5d07ffe5d
Q28039745,Lucian ROMAȘCANU,Lucian Romașcanu,male,1967-05-19,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21503769,Minister of Culture,Q28039745-8b1a0b22-45f2-0eab-c0b0-948501880164
Q28084569,Dan VÎLCEANU,Dan Vîlceanu,male,1979-02-05,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q109743580,Minister of Investments and European Projects,Q28084569-f4923891-490e-f2c3-c541-609dfbf3aef4
Q28113715,Virgil-Daniel POPESCU,Virgil-Daniel Popescu,male,1968-04-25,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21513151,Minister of Energy,Q28113715-4b643fe6-4507-3dec-a7a1-65b22973293c
Q28113961,Constantin-Daniel CADARIU,Constantin-Daniel Cadariu,male,1967-12-16,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q109743597,Minister of Entrepreneurship and Tourism,Q28113961-40e9f65a-4022-9ee7-8dad-b04825647299
Q28950289,Nicolae-Ionel CIUCĂ,Nicolae Ciucă,male,1967-02-07,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q15304810,Prime Minister,Q28950289-2de175be-4c29-03f1-c285-46c105c6cfce
Q3265173,Lucian Nicolae BODE,Lucian Bode,male,1974-10-27,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21504201,Minister of Internal Affairs,Q3265173-2e373321-468c-277d-827a-9036e2468fc7
Q347209,Vasile DÎNCU,Vasile Dîncu,male,1961-11-25,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-27,Q21504197,Minister of National Defence,Q347209-9d1b8657-4b80-f8cb-8277-273846902106
Q747255,Attila-Zoltán CSEKE,Attila Cseke,male,1973-06-09,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21503762,"Minister for Development, Public Works and Administration",Q747255-80bf21ae-4be3-f9ab-5d24-177a4600a3fa
Q88007402,Alexandru RAFILA,Alexandru Rafila,male,1961-12-27,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q20885066,Minister of Health,Q88007402-689cb754-46c2-ef32-58cd-80eae463d4cd
Q923357,Hunor KELEMEN,Hunor Kelemen,male,1967-10-18,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q81292982,Vice Prime Minister,Q923357-e6380b28-4f56-41fd-fafe-c0cdfd281aff
Q940884,Carol-Eduard NOVÁK,Carol-Eduard Novak,male,1976-07-28,11,https://www.gov.ro/en/government/the-cabinet-of-ministers,2021-11-26,Q21503827,Minister of Sports,Q940884-fab0f7bf-4c6b-7469-bb16-7390d37a2ed9
