name,position
Florin-Vasile CÎŢU,prime minister
Hunor KELEMEN,vice prime minister
Dan VÎLCEANU,""
Lucian Nicolae BODE,minister of internal affairs
Bogdan Lucian AURESCU,minister of foreign affairs
Nicolae-Ionel CIUCĂ,minister of national defence
Virgil-Daniel POPESCU,minister of energy
Nechita-Adrian OROS,minister of agriculture and rural development
Barna TÁNCZOS,"minister of environment, water and forests"
Attila-Zoltán CSEKE,"minister for development, public works and administration"
Raluca TURCAN,minister of labour and social protection
Sorin-Mihai CÎMPEANU,minister of education
Bogdan GHEORGHIU,minister of culture
Carol-Eduard NOVÁK,minister for youth and sport
