@@,item,itemlabel,startdate,enddate
+++,,Constantin Dudu Ionescu,1999-01-21,2000-12-28
->,Q1671900,Ioan Rus,2000-12-28,2004-03-11->2004-06-15
+++,,Marian Săniuță,2004-06-15,2004-12-28
->,Q6659788,Nicolae-Liviu Dragnea->Liviu Dragnea,2009-01-20,2009-02-02
->,Q7281730,Radu Stroe,2012-12->2012-12-21,2014-01->2014-01-23
+++,Q3093904,Gabriel Oprea,2014-01-23,2014-03-05
->,Q3093904,Gabriel Oprea,2014-03-05,2015-11-09->2014-12-17
+++,Q3093904,Gabriel Oprea,2014-12-17,2015-11-17
->,Q28113797,Carmen Dan,2017-01-04,2017-06-14->2017-06-29
->,Q28113797,Carmen Dan,2018-01-29,2019-07-15->2019-07-24
->,Q26239244,Ion Marcel Vela->Marcel Vela,2019-11-04,2020-12-23
